,,,,,,,,,,,,,PO multiplier,Exchange rate
,,,,,,,,,,,,EUR,1.1440000000000001,40

Category,Part No.,Previous Model No. ,New Model No. ,Unit ,"Manufacturer's suggested 
retail price","(New) Manufacturer's suggested 
retail price",Conversion to FT,% dif for cost,"(TTCL Internal Use)
PO Price","PO price
JPY/USD",PO price currency,REMARK (internal),"(TTCL Internal Use)
 THB Cost","(TTCL Internal Use)
GP",Pricelist Name,Multipiler,"Make same Price as Standard Price (THB)
=JPY/USD*Mul.","(New)
Make same Price as Standard Price","Standard Price (THB)
*Copy from excel",เช็คความต่าง %,"DIST. PL
 MUL.",Dist. Ex rate,Unit price (THB),(NEW) Unit price (THB),% dif for Unit price (SP),Status,Supplier Name,"Stock Reference 
(RPP)","Cutting &
Assembly",Detail
,51172,,UNIFLEX TUBES 0555.060.150.100,SET,36.113,36.113,1,"{""sharedFormula"":""I5""}",1,36.113,EUR(€) ,,1652.5308800000003,0.22630560928433252,KABELSCHLEPP ,1.4285714285714286,51.59,51.59,51.59,"{""sharedFormula"":""U5""}",1.144,36.19,2135.8961624,2135.8961624,"{""sharedFormula"":""Z5""}",,TKG,,,weight 2.66 kgs
,51166,,UNIFLEX TUBES 0555.060.125.230,SET,34.32,34.32,1,"{""sharedFormula"":""I5""}",1,34.32,EUR(€) ,,1570.4832000000001,0.22632815217034155,KABELSCHLEPP ,1.4286130536130537,49.03,49.03,49.03,"{""sharedFormula"":""U5""}",1.144,36.19,2029.9086807999997,2029.9086808,"{""sharedFormula"":""Z5""}",,TKG,,,weight 2.44 kgs
,51165,,UNIFLEX TUBES 0555.060.125.200,SET,34.32,34.32,1,"{""sharedFormula"":""I5""}",1,34.32,EUR(€) ,,1570.4832000000001,0.22632815217034155,KABELSCHLEPP ,1.4286130536130537,49.03,49.03,49.03,"{""sharedFormula"":""U5""}",1.144,36.19,2029.9086807999997,2029.9086808,"{""sharedFormula"":""Z5""}",,TKG,,,weight 2.44 kgs
,51164,,UNIFLEX TUBES 0555.060.125.160,SET,34.32,34.32,1,"{""sharedFormula"":""I5""}",1,34.32,EUR(€) ,,1570.4832000000001,0.22632815217034155,KABELSCHLEPP ,1.4286130536130537,49.03,49.03,49.03,"{""sharedFormula"":""U5""}",1.144,36.19,2029.9086807999997,2029.9086808,"{""sharedFormula"":""Z5""}",,TKG,,,weight 2.44 kgs
,51163,,UNIFLEX TUBES 0555.060.125.125,SET,34.32,34.32,1,"{""sharedFormula"":""I5""}",1,34.32,EUR(€) ,,1570.4832000000001,0.22632815217034155,KABELSCHLEPP ,1.4286130536130537,49.03,49.03,49.03,"{""sharedFormula"":""U5""}",1.144,36.19,2029.9086807999997,2029.9086808,"{""sharedFormula"":""Z5""}",,TKG,,,weight 2.44 kgs
,51162,,UNIFLEX TUBES 0555.060.125.100,SET,34.32,34.32,1,"{""sharedFormula"":""I5""}",1,34.32,EUR(€) ,,1570.4832000000001,0.22632815217034155,KABELSCHLEPP ,1.4286130536130537,49.03,49.03,49.03,"{""sharedFormula"":""U5""}",1.144,36.19,2029.9086807999997,2029.9086808,"{""sharedFormula"":""Z5""}",,TKG,,,weight 2.44 kgs
,51096,,UNIFLEX TUBES 0555.060.100.230,SET,32.538,32.538,1,"{""sharedFormula"":""I5""}",1,32.538,EUR(€) ,,1488.9388800000002,0.22625805000287705,KABELSCHLEPP ,1.4284836191529904,46.48,46.48,46.48,"{""sharedFormula"":""U5""}",1.144,36.19,1924.3352127999995,1924.3352127999997,"{""sharedFormula"":""Z5""}",,TKG,,,weight 2.22 kgs
,51095,,UNIFLEX TUBES 0555.060.100.200,SET,32.538,32.538,1,"{""sharedFormula"":""I5""}",1,32.538,EUR(€) ,,1488.9388800000002,0.22625805000287705,KABELSCHLEPP ,1.4284836191529904,46.48,46.48,46.48,"{""sharedFormula"":""U5""}",1.144,36.19,1924.3352127999995,1924.3352127999997,"{""sharedFormula"":""Z5""}",,TKG,,,weight 2.22 kgs
,51094,,UNIFLEX TUBES 0555.060.100.160,SET,32.538,32.538,1,"{""sharedFormula"":""I5""}",1,32.538,EUR(€) ,,1488.9388800000002,0.22625805000287705,KABELSCHLEPP ,1.4284836191529904,46.48,46.48,46.48,"{""sharedFormula"":""U5""}",1.144,36.19,1924.3352127999995,1924.3352127999997,"{""sharedFormula"":""Z5""}",,TKG,,,weight 2.22 kgs
,51093,,UNIFLEX TUBES 0555.060.100.125,SET,32.538,32.538,1,"{""sharedFormula"":""I5""}",1,32.538,EUR(€) ,,1488.9388800000002,0.22625805000287705,KABELSCHLEPP ,1.4284836191529904,46.48,46.48,46.48,"{""sharedFormula"":""U5""}",1.144,36.19,1924.3352127999995,1924.3352127999997,"{""sharedFormula"":""Z5""}",,TKG,,,weight 2.22 kgs
