,,,,,,,,,,,,,PO multiplier,Exchange rate
,,,,,,,,,,,,JPY,1.1440000000000001,0.26
,,,,,,,,,,,,USD,1.16688,38
Category,Part No. ,Previous Model No. ,New Model No. ,Unit ,"Manufacturer's suggested 
retail price","(New) Manufacturer's suggested 
retail price",Conversion to FT,% dif for cost,"(TTCL Internal Use)
PO Price","PO price
JPY/USD",PO price currency,REMARK (internal),"(TTCL Internal Use)
 THB Cost","(TTCL Internal Use)
GP",Pricelist Name,Multipiler,"Make same Price as Standard Price (THB)
=JPY/USD*Mul.","(New) Make same Price as Standard Price (THB)
=JPY/USD*Mul.","Standard Price (THB)
*Copy from excel",เช็คความต่าง %,"DIST. PL
 MUL.",Dist. Ex rate,Unit price (THB),(NEW) Unit price (THB),% dif for Unit price (SP),Status,Supplier Name,"Stock Reference 
(RPP)","Cutting &
Assembly",Detail
A15,0016,AL666,AL666-RP,LINK,165,165,1,"{""sharedFormula"":""I6""}",0.333,54.945,JPY(¥),,16.342840800000005,0.48477803278688514,THB DRIVE CHAIN,0.3696969696969697,61,61,61,"{""sharedFormula"":""U5""}",0.52,1,31.720000000000002,31.720000000000002,"{""sharedFormula"":""Z5""}",,TC
A15,5017,AL822-JL,AL822-MLJL,PC,464,464,1,"{""sharedFormula"":""I6""}",0.333,154.512,JPY(¥),,45.95804928000001,0.48315284210526305,THB DRIVE CHAIN,0.36853448275862066,171,171,171,"{""sharedFormula"":""U5""}",0.52,1,88.92,88.92,"{""sharedFormula"":""Z5""}",,TC
A15,0017,AL822,AL822-RP,LINK,190,190,1,"{""sharedFormula"":""I6""}",0.333,63.27,JPY(¥),,18.8190288,0.4902754929577465,THB DRIVE CHAIN,0.3736842105263158,71,71,71,"{""sharedFormula"":""U5""}",0.52,1,36.92,36.92,"{""sharedFormula"":""Z5""}",,TC
A15,5018,AL844-JL,AL844-MLJL,PC,544,544,1,"{""sharedFormula"":""I6""}",0.333,181.15200000000002,JPY(¥),,53.88185088000001,0.4844828656716418,THB DRIVE CHAIN,0.3694852941176471,201,201,201,"{""sharedFormula"":""U5""}",0.52,1,104.52000000000001,104.52000000000001,"{""sharedFormula"":""Z5""}",,TC
A15,0018,AL844,AL844-RP,LINK,291,291,1,"{""sharedFormula"":""I6""}",0.333,96.903,JPY(¥),,28.822828320000006,0.4819764859813084,THB DRIVE CHAIN,0.36769759450171824,107.00000000000001,107.00000000000001,107,1.328117263102991e-16,0.52,1,55.64000000000001,55.64000000000001,"{""sharedFormula"":""Z5""}",,TC
A15,5019,AL866-JL,AL866-MLJL,PC,669,669,1,"{""sharedFormula"":""I6""}",0.333,222.77700000000002,JPY(¥),,66.26279088000001,0.486175629032258,THB DRIVE CHAIN,0.37070254110612855,248,248,248,"{""sharedFormula"":""U5""}",0.52,1,128.96,128.96,"{""sharedFormula"":""Z5""}",,TC
A15,0019,AL866,AL866-RP,LINK,404,404,1,"{""sharedFormula"":""I6""}",0.333,134.532,JPY(¥),,40.015198080000005,0.480052,THB DRIVE CHAIN,0.36633663366336633,148,148,148,"{""sharedFormula"":""U5""}",0.52,1,76.96000000000001,76.96000000000001,"{""sharedFormula"":""Z5""}",,TC
A11,5002,BF25-H-1-JL,BF25-H-1-MCJL,PC,127,127,1,"{""sharedFormula"":""I6""}",0.355,45.085,JPY(¥),,13.410082400000002,0.46273708333333324,THB DRIVE CHAIN,0.3779527559055118,48,48,48,"{""sharedFormula"":""U5""}",0.52,1,24.96,24.96,"{""sharedFormula"":""Z5""}",,TC
A11,0002,,BF25-H-1-RP,LINK,14,14,1,"{""sharedFormula"":""I6""}",0.355,4.97,JPY(¥),,1.4782768000000002,0.431432,THB DRIVE CHAIN,0.35714285714285715,5,5,5,"{""sharedFormula"":""U5""}",0.52,1,2.6,2.6,"{""sharedFormula"":""Z5""}",,TC
A11,0093,,BF25-H-1-RP-U,BOX,2240,2240,1,"{""sharedFormula"":""I6""}",0.355,795.1999999999999,JPY(¥),"480 LKS, CHANGED TO PTNET PRICE BF25-H-1-RP+480L-MCJR-T",236.524288,0.8122763516302104,THB DRIVE CHAIN,1.0816964285714286,2423,2423,2423,"{""sharedFormula"":""U5""}",0.52,1,1259.96,1259.96,"{""sharedFormula"":""Z5""}",,TC
